N,D,m,a,e
39,4,1,25,3
30,20,6,8,5
23,21,6,9,7
17,44,5,1,1
11,50,3,1,3
39,49,2,7,21
14,38,8,0,3
5,5,0,4,1
18,21,7,4,7
1,22,1,0,0
13,8,2,5,4
46,46,10,7,10
30,27,9,10,11
40,43,2,0,32
34,29,4,20,5
40,33,12,27,1
12,41,0,0,4
42,24,1,1,35
19,28,12,1,4
17,24,9,4,4
3,32,0,1,0
28,41,14,5,0
2,5,1,0,1
16,14,3,8,0
35,19,11,7,11
17,45,2,8,7
7,20,0,2,3
34,36,5,1,14
1,38,0,0,1
15,45,3,6,6
30,18,10,9,11
31,50,3,18,2
49,50,17,1,6
